PROGRAM,Unnamed: 1,Unnamed: 2,FUNDING,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Legistative Action to Change Program?,Partnerships,Unnamed: 250,Unnamed: 251,Unnamed: 252
Investment Name,Agency,Subagency,B) Year Established,C1) Funding FY2008,C2) Funding FY2009,C3) Funding FY2010,D) Mission-specific or General STEM?,E) Agency or Mission-Related Workforce Needs?,Q) Legislation Required to Shift Focus?,S) Investment Partnerships,Y4) Portfolio Evaluation/Review Type,,
Centers for Ocean Sciences Education Excellence ~,National Science Foundation,Directorate for Geosciences (GEO),2002,5.24,7.19,5.7,General STEM,,Don't know,Required,INDEPENDENT,,
Broadening Participation in Computing (BPC),National Science Foundation,Directorate for Computer & Information Science & Engineering (CISE),2006,14,14,14,General STEM,,Don't know,Encouraged,,,NO
CISE Pathways to Revitalized Undergraduate Computing Education (CPATH),National Science Foundation,Directorate for Computer & Information Science & Engineering (CISE),2007,5,5,4.37,General STEM,,Don't know,Encouraged,,,NO
Opportunities for Enhancing Diversity in the Geosciences,National Science Foundation,Directorate for Geosciences (GEO),2002,4.57,11.79,4.18,General STEM,,Don't know,Encouraged,INDEPENDENT,,
Geoscience Education,National Science Foundation,Directorate for Geosciences (GEO),1999,1.63,2.74,2.02,General STEM,,Don't know,Encouraged,,,NO
Geoscience Teacher Training (GEO-Teach),National Science Foundation,Directorate for Geosciences (GEO),2006,3,3,2.98,General STEM,,Don't know,Encouraged,,,NO
Global Learning and Observations to Benefit the Environment (GLOBE),National Science Foundation,Directorate for Geosciences (GEO),1995,1.1,1.12,1.1,General STEM,,Don't know,Required,,,NO
Graduate Research Fellowship Program (GRFP),National Science Foundation,Directorate for Education and Human Resources (EHR),1952,96.02,162.43,136.13,General STEM,,Don't know,No,,,NO
Integrative Graduate Education and Research Traineeship (IGERT) Program,National Science Foundation,Directorate for Education and Human Resources (EHR),1997,64.76,77.99,69.7,General STEM,,Don't know,No,,,NO
Graduate Teaching Fellows in K-12 Education (GK-12),National Science Foundation,Directorate for Education and Human Resources (EHR),1999,54.6,58.84,55.97,General STEM,,Don't know,Required,INDEPENDENT,,
East Asia & Pacific Summer Institutes for U.S. Graduate Students (EAPSI),National Science Foundation,Office of International Science and Engineering (OISE),2004,1.75,1.52,1.74,General STEM,,Don't know,Required,,,NO
